	FBC Start98 Kunratice	FBC Kladno bílí	Tatran Střešovice Red	FBK Fat Pipe Vosy Praha	Technology Florbal MB	AC Sparta Praha RED	TJ Sokol Královské Vinohrady	BLACK ANGELS 2004	FbC Panthers	Florbalová akademie MB	TEMPISH Orka Čelákovice	BLACK ANGELS 2005	AC Sparta Praha BLUE	Viking group TJ Sokol Kobylisy	DDM Horní Počernice ORKA B	FBC Start98 Kunratice B	Tatran Střešovice Black	Sokol Rudná	FBK CONEP Vosy Praha	Athletics Praha Černý Most	FbŠ Bohemians	T.B.C. Králův Dvůr	AC Sparta Praha YELLOW	AC Sparta Praha BLACK	Athletics Praha Prosek	Viking TJ Sokol Kobylisy B	TEMPISH Orka Čelákovice C	FBC Kutná Hora
FBC Start98 Kunratice	0	6	4	1	4	4	2	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBC Kladno bílí	6	0	4	2	1	6	2	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tatran Střešovice Red	4	4	0	2	4	0	4	3	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBK Fat Pipe Vosy Praha	1	2	2	0	1	4	2	4	4	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Technology Florbal MB	4	1	4	1	0	4	2	0	2	3	1	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
AC Sparta Praha RED	4	6	0	4	4	0	1	0	0	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
TJ Sokol Královské Vinohrady	2	2	4	2	2	1	0	1	0	5	2	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BLACK ANGELS 2004	2	3	3	4	0	0	1	0	1	1	1	2	2	2	0	2	1	0	1	0	1	0	0	0	0	0	0	0
FbC Panthers	3	1	3	4	2	0	0	1	0	2	2	1	1	1	2	1	0	1	1	1	0	0	0	0	0	0	0	0
Florbalová akademie MB	0	1	0	2	3	1	5	1	2	0	2	0	2	3	3	1	0	1	0	0	0	0	0	0	0	0	0	0
TEMPISH Orka Čelákovice	1	0	1	1	1	2	2	1	2	2	0	2	3	0	3	2	1	1	0	1	0	1	0	0	0	0	0	0
BLACK ANGELS 2005	0	0	1	1	2	1	3	2	1	0	2	0	3	0	4	1	3	0	1	0	2	0	0	0	0	0	0	0
AC Sparta Praha BLUE	0	0	1	1	0	1	1	2	1	2	3	3	0	5	2	1	0	0	2	1	1	0	0	0	0	0	0	0
Viking group TJ Sokol Kobylisy	0	1	0	1	1	1	1	2	1	3	0	0	5	0	3	2	3	1	0	1	1	0	0	0	0	0	0	0
DDM Horní Počernice ORKA B	0	0	0	1	1	1	0	0	2	3	3	4	2	3	0	3	2	1	1	0	0	0	0	0	0	0	0	0
FBC Start98 Kunratice B	0	0	0	0	0	1	0	2	1	1	2	1	1	2	3	0	1	1	3	1	2	3	1	0	0	1	0	0
Tatran Střešovice Black	0	0	0	0	0	0	0	1	0	0	1	3	0	3	2	1	0	1	3	3	2	4	2	1	0	0	0	0
Sokol Rudná	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	3	1	4	2	1	2	2	1	1
FBK CONEP Vosy Praha	0	0	0	0	0	0	0	1	1	0	0	1	2	0	1	3	3	1	0	3	4	2	1	4	0	0	0	0
Athletics Praha Černý Most	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	3	3	3	0	2	2	3	1	3	1	1	0
FbŠ Bohemians	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	2	2	1	4	2	0	2	1	2	1	4	0	1
T.B.C. Králův Dvůr	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	4	4	2	2	2	0	5	2	2	0	0	0
AC Sparta Praha YELLOW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	3	1	5	0	5	1	1	3	2
AC Sparta Praha BLACK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	1	2	2	5	0	2	2	4	3
Athletics Praha Prosek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	2	1	2	0	5	5	6
Viking TJ Sokol Kobylisy B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	4	0	1	2	5	0	5	6
TEMPISH Orka Čelákovice C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	4	5	5	0	8
FBC Kutná Hora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	3	6	6	8	0
