	FbŠ Bohemians DDM Praha 7	BLACK ANGELS	TJ JM FAT PIPE Chodov	FBK Fat Pipe Vosy Praha	Tatran Střešovice Red	AC Sparta Praha	AC Sparta Praha B	Viking group TJ Sokol Kobylisy	FBC Kladno	FC Bučis Team 	DDM Horní Počernice ORKA	FbC Panthers	SK Florbal Benešov 	T.B.C. Králův Dvůr	TJ JM FAT PIPE Chodov B	Technology Florbal MB	Wizards DDM Praha 10 	Athletics Praha	Florbalová akademie MB	TEMPISH Orka Čelákovice B	Lhokamo Praha	Floorball Club Falcon	FBC Start98 Kunratice	AC Sparta Praha C	FbŠ Bohemians Praha 4 zelení C	Technology Florbal MB B	FBC Kutná Hora 	Tatran Střešovice B-Black	FBC Kralupy n/V	TJ Sokol Královské Vinohrady	Sokol Rudná	TJ JM FAT PIPE Chodov C	FC Bučis Team B	AC Sparta Praha D	FBC Kladno B	FBK CONEP Vosy Praha B	BLACK ANGELS B	T.J. Sokol na Mělníce	FBC Říčany	SK Florbal Benešov B	Athletics Praha B	FBK Davle	FBC Kladno C	FbC Panthers B	DDM Horní Počernice ORKA C	Floorball Club Falcon C	FbŠ Bohemians Letňany D	FBC Pitbulláci Kolín	FBC UNHOŠŤ	Red Dragons Hořovice	FbŠ Bohemians Praha 4 bílí B	Floorball Club Falcon B	FbC Barracudas Slaný	Florbal Neratovice	FBC Vlci Tatran Kostelec	TJ Sokol Mukařov	Flobo Praha	SK Alien Nation	SOKOL Hanspaulka
FbŠ Bohemians DDM Praha 7	0	7	8	5	5	5	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLACK ANGELS	7	0	9	4	5	5	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TJ JM FAT PIPE Chodov	8	9	0	3	4	2	4	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBK Fat Pipe Vosy Praha	5	4	3	0	3	5	1	5	2	2	1	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tatran Střešovice Red	5	5	4	3	0	1	3	2	2	1	3	1	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC Sparta Praha	5	5	2	5	1	0	4	1	2	3	1	1	1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC Sparta Praha B	4	2	4	1	3	4	0	1	1	2	1	0	1	1	1	1	1	2	3	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viking group TJ Sokol Kobylisy	1	2	3	5	2	1	1	0	2	2	4	1	2	1	1	1	1	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBC Kladno	0	1	1	2	2	2	1	2	0	3	5	2	3	2	2	2	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FC Bučis Team 	0	0	1	2	1	3	2	2	3	0	0	4	4	1	3	1	4	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
