	SH ZŠ Kunratice	SH Králův Dvůr	TJ Radlice	SH Gym. Dr. Pekaře Ml. Boleslav	ZŠ Jiráskova Benešov	X3M Arena Barrandov	SH Na Fialce Říčany	Gymnázium Františka Palackého Neratovice	TJ JM Chodov	SH VŠE	Přetlaková SH Kladno	TJ Sokol Vinohrady	SH Stochov	SH BIOS Čelákovice	SH BIOS Kutná Hora	TJ Sokol Kobylisy	Unihoc Aréna Praha	Sport Eden Beroun	SH Děkanka	SH Eagles Praha	SH Kralupy nad Vltavou	SH BIOS Kladno	TJ Ruzyně	SH Čakovice	Lyceum Drtinova	SH Kostelec nad Černými lesy	MSH Mladá Boleslav	SH BIOS Kolín	SH BIOS Dobřichovice	SH Zličín	SH Open Gate
FbC Panthers	1	1	2	2	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0
FBK Fat Pipe Vosy Praha	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0
FbŠ Bohemians DDM Praha 7	2	0	0	0	0	2	0	0	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BLACK ANGELS	2	0	0	0	0	2	0	0	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Tatran Střešovice Red	1	0	1	0	0	1	0	0	3	0	0	0	0	0	0	1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0
TJ JM FAT PIPE Chodov	2	0	0	0	0	2	0	0	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Wizards DDM Praha 10 	0	2	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0
AC Sparta Praha	1	1	1	0	0	3	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
T.B.C. Králův Dvůr	0	2	2	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0
Technology Florbal MB	0	1	3	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0
FBC Kladno	0	1	0	2	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0
FC Bučis Team 	0	2	1	1	0	1	0	0	1	2	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Florbalová akademie MB	0	1	2	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0
FBC Start98 Kunratice	2	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0
DDM Horní Počernice ORKA	0	0	3	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0
Viking group TJ Sokol Kobylisy	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	2	0	0	1	0	1	0	2	0	0	0	0	0	0	0
TEMPISH Orka Čelákovice B	0	1	2	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0
FbŠ Bohemians Praha 4 zelení C	2	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0
Sokol Rudná	0	0	2	3	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
FbŠ Bohemians Letňany D	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	2	0	0
Technology Florbal MB B	2	0	1	2	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0
Lhokamo Praha	0	1	1	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0
TJ JM FAT PIPE Chodov B	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0
AC Sparta Praha B	1	0	1	1	0	3	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Athletics Praha	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	2	0	1	2	0	0	1	1	0	0	0	0	0	0	0
FBC Kladno B	0	0	2	0	1	1	1	0	0	0	3	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
