	BLACK ANGELS	SK Florbal Benešov I.	FbŠ Bohemians DDM Praha 7	TJ JM FAT PIPE Chodov white	Tatran Střešovice Red	FBC Start98 Kunratice	Viking group TJ Sokol Kobylisy	TJ JM FAT PIPE Chodov blue	Florbalová akademie MB	FC Bučis Team	FBC Kladno bílí	FbC Panthers	Technology Florbal MB	FBK Fat Pipe Vosy Praha	AC Sparta Praha RED	TJ Sokol Královské Vinohrady	Floorball Club Falcon	Athletics Praha Černý Most	Sokol Rudná	AC Sparta Praha BLUE	Wizards DDM Praha 10	DDM Horní Počernice ORKA	T.B.C. Králův Dvůr	FbŠ Bohemians Praha 4	FBC Kladno modří	BLACK ANGELS B	FBK Davle	Tatran Střešovice Black	FBC Kutná Hora 	FC Bučis Team B	Athletics Praha Prosek	FBK CONEP Vosy Praha	FBC Start98 Kunratice B	FBC Kralupy n/V	FBC Říčany	FbC Panthers B	TEMPISH Orka Čelákovice B	TJ Sokol Královské Vinohrady B	AC Sparta Praha BLACK	ELITE PRAHA team DDM P6	SK Florbal Benešov II.	Florbal Neratovice	SK Dvojka Praha	TJ JM FAT PIPE Chodov black	AC Sparta Praha YELLOW	FbK Olymp Praha	Wizards DDM Praha 10 B	Floorball Club Falcon B	FBC UNHOŠŤ	FBC Příbram
BLACK ANGELS	0	3	3	6	4	2	1	1	1	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SK Florbal Benešov I.	3	0	6	4	6	1	1	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FbŠ Bohemians DDM Praha 7	3	6	0	4	1	1	4	1	2	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TJ JM FAT PIPE Chodov white	6	4	4	0	4	4	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tatran Střešovice Red	4	6	1	4	0	0	2	2	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBC Start98 Kunratice	2	1	1	4	0	0	3	1	2	3	2	1	2	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viking group TJ Sokol Kobylisy	1	1	4	1	2	3	0	3	3	0	1	1	0	2	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TJ JM FAT PIPE Chodov blue	1	2	1	1	2	1	3	0	2	3	2	2	3	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florbalová akademie MB	1	1	2	1	1	2	3	2	0	2	1	2	2	1	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FC Bučis Team	2	0	1	1	0	3	0	3	2	0	0	2	1	1	1	1	2	2	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBC Kladno bílí	1	0	0	0	1	2	1	2	1	0	0	5	4	5	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FbC Panthers	1	1	0	0	1	1	1	2	2	2	5	0	1	3	1	3	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Technology Florbal MB	1	0	1	0	1	2	0	3	2	1	4	1	0	1	0	2	2	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBK Fat Pipe Vosy Praha	0	1	1	0	0	0	2	0	1	1	5	3	1	0	1	3	1	1	2	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC Sparta Praha RED	1	1	2	0	1	1	2	0	0	1	0	1	0	1	0	0	1	4	2	3	1	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TJ Sokol Královské Vinohrady	0	0	0	0	1	1	0	0	1	1	0	3	2	3	0	0	1	2	2	1	2	1	1	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Floorball Club Falcon	0	0	0	0	0	2	2	1	1	2	0	0	2	1	1	1	0	1	2	1	3	0	2	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Athletics Praha Černý Most	0	0	0	0	0	0	1	0	3	2	1	1	0	1	4	2	1	0	4	1	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sokol Rudná	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	2	2	4	0	2	2	1	3	1	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
